tittle,id,description,image_link,price,availability,link
Pendientes de perlas grises / Pendientes de bolas / Pendientes de lagrima,4,These wonderful blue pearl earrings with gray pearls are perfect for any occasion. They do not weigh and fit perfectly with an evening dress or sportswear. Do not miss the opportunity to have some sexy earrings and remember that Valentine's Day is near and you can ask your partner for Valentine's gift.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048700984.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-grises-Pendientes-de-bolas-Pendientes-de-lagrima/p/253364399
Pendientes de perlas / Pendientes de aro / Pendientes blancos,23,Each piece has been chosen one by one to create this perfect combination of earrings. The colors of the pearls and the grape shape of the earring make this a unique piece. Don't wait and take the opportunity. Wonderful pearl earrings,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049081252.jpg,13.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-de-aro-Pendientes-blancos/p/260847649
Pendientes de perlas / Pendientes largos / Pendientes blancos,1,Handmade pearl earrings with stones are perfect for any daily situation. Beautiful they weigh very little and combine perfectly with any model.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048761607.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-largos-Pendientes-blancos/p/245633166
Pendientes de perlas / Pendientes largos / Pendientes verdes,3,Those pearl earrings are precious highlight the natural beauty of women and definitely look good. Earrings handmade created made of pearls and elegant green stones perfect for your date.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048814073.jpg,19.0,in stock,https://muyaya.es#!/Pendientes-de-perlas-Pendientes-largos-Pendientes-verdes/p/253354703
Pendientes de Piedras Dorados O Plateados,74,Beautiful earrings with blue stones. They are beautiful and minimalist and are suitable for any occasion. They are 4 cm long and the pendant is 3 cm in diameter.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2452055305.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-Piedras-Dorados-O-Plateados/p/381383013
Pendientes largos / Pendientes con coral / Pendientes rojos,42,Precious red coral teardrop earrings that end in golden beads. These earrings can be worn on any occasion. Don't miss the occasion.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049144374.jpg,8.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-con-coral-Pendientes-rojos/p/293376463
Pendientes largos / Pendientes con cristal / Pendientes Naranja,43,Beautiful handcrafted heart earrings that look great with any combination. Earrings with bronze hearts carved by hand and worked with acid. There are two options to choose between the color red and a wonderful orange color (my favorites),https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2233022477.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-con-cristal-Pendientes-Naranja/p/293324583
Pendientes largos / Pendientes de bolas / Pendientes rojos,15,Look at them carefully and try not to be hypnotized. They are a small work of art pure beauty that enhances the natural beauty of women. Beautiful colors that will brighten whoever wears them. These long earrings are the best Valentine's gift you could think of.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048755202.jpg,18.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-de-bolas-Pendientes-rojos/p/260852013
Pendientes largos / Pendientes de flor / Pendientes de Irlanda,11,Just seeing these long earrings is already a delight. It is a beautiful work that wants to remember beloved Ireland. Chain earrings with green crystals and white pearls green crystal tear.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048806081.jpg,20.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-de-flor-Pendientes-de-Irlanda/p/253357742
Pendientes largos / Pendientes verdes / Pendientes de perlas,44,Beautiful teardrop earrings in green and white. The head of the earring is made of a hand-embroidered thread. From it hang some green glass beads and pearls. The combination of greens and whites combines perfectly and always looks good.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049175336.jpg,19.0,in stock,https://muyaya.es#!/Pendientes-largos-Pendientes-verdes-Pendientes-de-perlas/p/293324584
Pendientes Rojos / Pendientes De Corazón / Pendientes De Bronce,41,Preciosos pendientes de corazón creados a mano que lucen perfectamente con cualquier combinación. Pendientes con corazones de bronce talladas a mano y trabajadas con ácido. Hay dos opciones a escoger entre el color rojo y un maravilloso color naraja (mis favoritos) Las piezas de corazones son…,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049081476.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-Rojos-Pendientes-De-Corazón-Pendientes-De-Bronce/p/292596471
Pendientes tejido,0,M U Y A Y A - Basados en los antiguos bordados estos pendientes tejidos a mano son una pequeña obra de arte. Ligeros como plumas y bellos son perfectos para combinar con cualquier modelo​. No te los pierdas.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1790894148.jpg,12.99,out of stock,https://muyaya.es#!/Pendientes-tejido/p/245633164
Pulsera con cuentas de plata / Pulsera de colores / Pulsera de bolas,6,Turquoise and coral bracelet with silver beads. It combines perfectly with any design and always looks good. perfect color combination (red blue white and purple) that generate a cool fantasy.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051261900.jpg,16.0,in stock,https://muyaya.es#!/Pulsera-con-cuentas-de-plata-Pulsera-de-colores-Pulsera-de-bolas/p/253364440
Pulsera de coral rojo / pulsera de cuentas de coral / pulsera de apilamiento delgada / pulsera para mujer,8,Wonderful red coral bracelet. Coral stones are a perfect combination and this simple bracelet for women can be combined with any look. Remember coral is the stone of life wisdom and intuition.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051348525.jpg,13.0,in stock,https://muyaya.es#!/Pulsera-de-coral-rojo-pulsera-de-cuentas-de-coral-pulsera-de-apilamiento-delgada-pulsera-para-mujer/p/253364494
Pulsera de coral rojo y plata 925 / pulsera con cuentas de coral y plata 925/ pulsera de coral rojo minimalista / pulsera para la mujer,7,This red coral bracelet is worked by hand creating each of the knots taking into account the stones to which it is connected. Created with silver thread beads handcrafted with oval coral stones. It's a minimalist red coral bracelet that you will enjoy,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051261062.jpg,18.0,in stock,https://muyaya.es#!/Pulsera-de-coral-rojo-y-plata-925-pulsera-con-cuentas-de-coral-y-plata-925-pulsera-de-coral-rojo-minimalista-pulsera-para-la-mujer/p/253357694
Pulsera De Cristal Verde Y Pedrería Plateada,68,,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2115064994.jpg,15.0,in stock,https://muyaya.es#!/Pulsera-De-Cristal-Verde-Y-Pedrería-Plateada/p/315847094
pulsera de hilo / pulsera de hebras verdes / pulsera para la mujer,5,This beautiful bracelet for women has been created by hand from scratch. The bronze flower is cut polished and acid aged. The green fabric with handmade gold woven by hand and finally the clasps to close the bracelet. A wonderful option to wear with any model.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051417083.jpg,12.0,in stock,https://muyaya.es#!/pulsera-de-hilo-pulsera-de-hebras-verdes-pulsera-para-la-mujer/p/253364434
Pulsera De HiloPulsera De Hombre / Pulsera de hilo / Pulsera naranja y azul,61,Thread bracelet couple strand bracelet. The bracelet is handmade with selected threads. The blue and orange colors give it a special touch. Special security closure to avoid losses.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2075863162.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-De-HiloPulsera-De-Hombre-Pulsera-de-hilo-Pulsera-naranja-y-azul/p/307938460
Pulsera De HiloPulsera De Hombre / Pulsera de hilo / Pulsera naranja y azul,62,,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2075823603.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-De-HiloPulsera-De-Hombre-Pulsera-de-hilo-Pulsera-naranja-y-azul/p/307975439
Pulsera De Hombre / Pulsera de hilo / Pulsera naranja y plata,55,Thread bracelet couple strand bracelet. The bracelet is handmade with selected threads. The silver and orange colors give it a special touch. Special security closure to avoid losses.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2044104076.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-De-Hombre-Pulsera-de-hilo-Pulsera-naranja-y-plata/p/302130052
Pulsera De Serpiente / Pulsera para hombre / Pulsera de cuerda / Pulsera de hilo,48,Snake bracelet and bracelet for men that also divinely as a bracelet for women embroidered by hand piece by piece and thread by thread. Combined with serpentine head-shaped hooks that give beauty and elegance to the piece. The selection of colors is made to suit both men and women. This rope bracelet is a unique piece that perfectly matches any long sleeve shirt or short marl and perfect if you have any tattoos on your arms.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1992278767.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-De-Serpiente-Pulsera-para-hombre-Pulsera-de-cuerda-Pulsera-de-hilo/p/295387118
Pulsera magnetica / pulsera magnetica de pareja / pulsera de parejas,52,Magnetic bracelet magnetic couple bracelet. The bracelet is created by a golden chain connected to a collection of precious stones with a magnetic attachment. The magnetic couple bracelet is perfect for you who love each other. Each one will have a pair and you can enjoy it together or separately. A wonderful gift for yourself or your partner.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054531244.jpg,11.0,in stock,https://muyaya.es#!/Pulsera-magnetica-pulsera-magnetica-de-pareja-pulsera-de-parejas/p/300745260
Pulsera magnetica / pulsera magnetica de pareja / pulsera de parejas,54,Magnetic bracelet magnetic couple bracelet. The bracelet is created by a golden chain connected to a collection of precious stones with a magnetic attachment. The magnetic couple bracelet is perfect for you who love each other. Each one will have a pair and you can enjoy it together or separately. A wonderful gift for yourself or your partner.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054434021.jpg,11.0,in stock,https://muyaya.es#!/Pulsera-magnetica-pulsera-magnetica-de-pareja-pulsera-de-parejas/p/301371469
Pulsera magnetica / pulsera magnetica de pareja / pulsera de parejas,60,Magnetic bracelet magnetic couple bracelet. The bracelet is created by a golden chain connected to a collection of precious stones with a magnetic attachment. The magnetic couple bracelet is perfect for you who love each other. Each one will have a pair and you can enjoy it together or separately. A wonderful gift for yourself or your partner.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054441091.jpg,11.0,in stock,https://muyaya.es#!/Pulsera-magnetica-pulsera-magnetica-de-pareja-pulsera-de-parejas/p/304526244
Pulsera magnetica / pulsera magnetica de pareja / pulsera de parejas,59,Magnetic bracelet magnetic couple bracelet. The bracelet is created by a golden chain connected to a collection of precious stones with a magnetic attachment. The magnetic couple bracelet is perfect for you who love each other. Each one will have a pair and you can enjoy it together or separately. A wonderful gift for yourself or your partner.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054531682.jpg,11.0,in stock,https://muyaya.es#!/Pulsera-magnetica-pulsera-magnetica-de-pareja-pulsera-de-parejas/p/304658044
Pulsera para hombre / Pulsera de cuerda / Pulsera de hilo,19,Wonderful string bracelet (bracelet for man) hand embroidered piece by piece and combined with copper hooks that give a snake shape. A beautiful combination of colors valid for both men and women. This rope bracelet is a unique creation and each unit is different from the previous one since it is woven by hand once it is ordered.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1927729562.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-para-hombre-Pulsera-de-cuerda-Pulsera-de-hilo/p/260862139
Pulsera para hombre / Pulsera de cuerda / Pulsera de hilo,32,Bracelet for men that also divinely as a bracelet for women embroidered by hand piece by piece and thread by thread. Combined with copper hooks that give a beautiful shape. The selection of colors is made to suit both men and women. This rope bracelet is a unique piece that perfectly matches any long sleeve shirt or short marl and perfects if you have any tattoos on your arms.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054595149.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-para-hombre-Pulsera-de-cuerda-Pulsera-de-hilo/p/282565517
Pulsera para hombre / Pulsera de cuerda / Pulsera de hilo,31,Wonderful men's bracelet hand-embroidered piece by piece and combined with copper hooks that give an exceptional shape. Beautiful thread bracelet with a combination of colors valid for both men and women. This rope bracelet is a unique creation and each unit is different from the previous one since it is woven by hand once it is ordered.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054583184.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-para-hombre-Pulsera-de-cuerda-Pulsera-de-hilo/p/282573498
Pulsera para la mujer / Pulsera con flor / pulsera roja / pulsera moderna,9,​This wonderful flower bracelet is made up of a handcrafted acid-aged bronze flower hand-beaded stones and hand-polished stones one by one. The set is an original work of extraordinary beauty. The flower pieces are created by hand and worked in our workshop as they are not created in a Chinese factory the result may vary from the image in the photo.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051384506.jpg,25.0,in stock,https://muyaya.es#!/Pulsera-para-la-mujer-Pulsera-con-flor-pulsera-roja-pulsera-moderna/p/253364509
Pulsera para mujer / Pulsera de cuerda / Pulsera de hilo,30,Woven bracelet of different colors that forms a very fun creation. The closure is of security that will prevent it from coming out of the wrist when we make a sudden movement. Do not miss the opportunity while it is on sale.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2054583016.jpg,10.0,in stock,https://muyaya.es#!/Pulsera-para-mujer-Pulsera-de-cuerda-Pulsera-de-hilo/p/282574430
Sujeta mascara / Cordón de mascarillas / Sujeta máscaras o mascarillas,29,With this face mask holder cord you will never miss that piece that we all have to wear these days. Silver chain with Swarovski stones that combines perfectly with any design.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1930655063.jpg,12.0,in stock,https://muyaya.es#!/Sujeta-mascara-Cordón-de-mascarillas-Sujeta-máscaras-o-mascarillas/p/273535324
Sujeta mascara / Cordón de mascarillas / Sujeta máscaras o mascarillas,50,Chain or mask created by hand. It is made up of three parts. Two from a bronze chain created by hand and a third from a chain of hand-woven cotton thread.The combination is a beautiful result that will make you highlight the mask,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2038042966.jpg,15.0,in stock,https://muyaya.es#!/Sujeta-mascara-Cordón-de-mascarillas-Sujeta-máscaras-o-mascarillas/p/297719962
Sujeta mascara / Cordón para mascarilla / Cordón para mascara,14,In this era of viruses and pandemics we present the new line of products for COVID-19. With this face mask holder cord you will never miss that piece that we all have to wear these days. With this wonderful cord in addition to never losing your mask again you will give a little color to your inseparable friend.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2038065775.jpg,10.0,in stock,https://muyaya.es#!/Sujeta-mascara-Cordón-para-mascarilla-Cordón-para-mascara/p/260836454
Sujeta mascara / Cordón para mascarillas / Cordón para mascaras,25,With this face mask holder cord you will never miss that piece that we all have to wear these days. Silver chain with Swarovski stones that combines perfectly with any design. Face mask chain with pearls and stones that combines perfectly with any design.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1927886311.jpg,12.0,in stock,https://muyaya.es#!/Sujeta-mascara-Cordón-para-mascarillas-Cordón-para-mascaras/p/272450986
Sujeta Mascarilla / cordón para máscaras / sonten mascarilla,28,With this face mask cord you will never miss that piece that we all have to wear these days. Silver chain with blue white red and orange stones that combines perfectly with any design. Perfect face mask holder with chain the perfect gift for her or even perfect san Valentin gift.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1927904234.jpg,12.0,in stock,https://muyaya.es#!/Sujeta-Mascarilla-cordón-para-máscaras-sonten-mascarilla/p/273541219
Tarjeta regalo,12,Esto es una tarjeta regalo para que puedas comprar los más bellos objetos que te puedas imaginar. Muyaya presenta la colección definitiva y no te la puedes perder.,https://d2j6dbq0eux0bg.cloudfront.net/default-store/giftcards/gift_card_003_1500px.jpg,0.0,out of stock,https://muyaya.es#!/Tarjeta-regalo/p/254887757
